title,artist
"Angel Eyes","Christine Baranski"
"Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack","Meryl Streep"
"Gimme! Gimme! Gimme! (A Man After Midnight) - From 'Mamma Mia!' Original Motion Picture Soundtrack","Amanda Seyfried"
"Super Trouper","Cher"
"Love Me Not (feat. Rex Orange County)","Ravyn Lenae"
"SOS - From 'Mamma Mia!' Original Motion Picture Soundtrack","Pierce Brosnan"
"Love Me Like You","Little Mix"
"Bed Chem","Sabrina Carpenter"
"Happy Hawaii","ABBA"
"Big Girl (You Are Beautiful)","MIKA"
"Good Graces","Sabrina Carpenter"
"Lay All Your Love On Me - From 'Mamma Mia!' Original Motion Picture Soundtrack","Dominic Cooper"
"Nonsense","Sabrina Carpenter"
"Fernando","Cher"
"Does Your Mother Know - From 'Mamma Mia!' Original Motion Picture Soundtrack","Christine Baranski"
"BMF","SZA"
"Read your Mind","Sabrina Carpenter"
"Tropical Loveland","ABBA"
"Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack","Meryl Streep"
"Please Please Please","Sabrina Carpenter"
"Mamma Mia","ABBA"
"BIRDS OF A FEATHER","Billie Eilish"
"Feather","Sabrina Carpenter"
"Money, Money, Money - From 'Mamma Mia!' Original Motion Picture Soundtrack","Meryl Streep"
"Honey, Honey","ABBA"
"Lie To Girls","Sabrina Carpenter"
"You Belong With Me (Taylor’s Version)","Taylor Swift"
"Our Last Summer - From 'Mamma Mia!' Original Motion Picture Soundtrack","Colin Firth"
"Kiss Me More (feat. SZA)","Doja Cat"
"Dum Dum Diddle","ABBA"
"What A Feeling","Irene Cara"
"Adore You","Harry Styles"
"Nina, Pretty Ballerina","ABBA"
"Kisses Of Fire","ABBA"
"Your Love Is My Drug","Kesha"
"Vicious","Sabrina Carpenter"
"Black Magic","Little Mix"
"Couldn’t Make It Any Harder","Sabrina Carpenter"
"I Have A Dream","ABBA"
"Careless Whisper - Remastered","George Michael"
"She Looks So Perfect","5 Seconds of Summer"
"Why Did It Have To Be Me?","ABBA"
"Hard Times","Paramore"
"Drive (From F1® The Movie)","Ed Sheeran"
"I Will Always Love You","Whitney Houston"
"Super Bass","Nicki Minaj"
"It's All Coming Back to Me Now","Céline Dion"
"Still into You","Paramore"
"Style","Taylor Swift"
"What the Hell","Avril Lavigne"
"Slim Pickins","Sabrina Carpenter"
"Beauty And A Beat","Justin Bieber"
"Dumb & Poetic","Sabrina Carpenter"
"All By Myself","Céline Dion"
"Strong Enough","Cher"
"opposite","Sabrina Carpenter"
"That's Me","ABBA"
"(I've Had) The Time Of My Life - theme from the motion picture ""Dirty Dancing""","Bill Medley"
"If I Could Turn Back Time","Cher"
"Bad Reviews","Sabrina Carpenter"
"I Really Like You","Carly Rae Jepsen"
"Psychedelic Switch","Carly Rae Jepsen"
"Shy Boy","Carly Rae Jepsen"
"HOT TO GO!","Chappell Roan"
"Red Wine Supernova","Chappell Roan"
"Casual","Chappell Roan"
"Naked In Manhattan","Chappell Roan"
"Talking Body","Tove Lo"
"5, 6, 7, 8","Steps"
"Not Another Rockstar","Maisie Peters"
"Lost The Breakup","Maisie Peters"
"traitor","Olivia Rodrigo"
"deja vu","Olivia Rodrigo"
"drivers license","Olivia Rodrigo"
"happier","Olivia Rodrigo"
"good 4 u","Olivia Rodrigo"
"That’s So True","Gracie Abrams"
